z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.058405,0.011037,0.031853,0.070322,0.245397,0.170896,0.245811,0.169161
0.058773,0.010725,0.031925,0.070304,0.245380,0.170895,0.245811,0.169161
0.058746,0.010322,0.031916,0.070301,0.245367,0.170882,0.245811,0.169161
0.058449,0.009641,0.031783,0.070329,0.245362,0.170846,0.245801,0.169161
0.057903,0.008948,0.031608,0.070377,0.245367,0.170798,0.245801,0.169161
0.057292,0.008137,0.031441,0.070419,0.245366,0.170749,0.245801,0.169161
0.056542,0.007369,0.031433,0.070435,0.245352,0.170714,0.245811,0.169161
0.055646,0.006412,0.031378,0.070438,0.245326,0.170683,0.245811,0.169161
0.054676,0.004991,0.030979,0.070530,0.245334,0.170589,0.245791,0.169161
0.053371,0.003429,0.030950,0.070549,0.245300,0.170527,0.245791,0.169161
0.051645,0.001594,0.031202,0.070476,0.245215,0.170506,0.245811,0.169161
0.049729,-0.000535,0.031087,0.070474,0.245160,0.170438,0.245801,0.169161
0.047482,-0.002774,0.030933,0.070513,0.245125,0.170347,0.245801,0.169161
0.045058,-0.004864,0.030991,0.070494,0.245063,0.170290,0.245811,0.169161
0.042478,-0.007044,0.031009,0.070484,0.245006,0.170227,0.245821,0.169161
0.039839,-0.009251,0.031060,0.070458,0.244942,0.170171,0.245821,0.169161
0.037110,-0.011340,0.031052,0.070443,0.244888,0.170115,0.245821,0.169161
0.034464,-0.013215,0.030989,0.070447,0.244848,0.170055,0.245821,0.169161
0.031971,-0.014905,0.031032,0.070424,0.244801,0.170016,0.245821,0.169161
0.029495,-0.016023,0.031126,0.070372,0.244751,0.170004,0.245811,0.169161
0.027675,-0.015583,0.031246,0.070339,0.244744,0.170031,0.245821,0.169161
0.026502,-0.014578,0.031233,0.070365,0.244781,0.170048,0.245832,0.169161
0.026266,-0.013907,0.031385,0.070301,0.244766,0.170097,0.245821,0.169171
0.026957,-0.012844,0.031311,0.070340,0.244807,0.170109,0.245821,0.169161
0.028039,-0.011240,0.031623,0.070266,0.244804,0.170196,0.245821,0.169161
0.029186,-0.009252,0.031567,0.070312,0.244869,0.170246,0.245821,0.169141
0.029797,-0.006717,0.031289,0.070398,0.244971,0.170282,0.245821,0.169151
0.029646,-0.003952,0.031269,0.070441,0.245057,0.170351,0.245821,0.169161
0.028902,-0.001419,0.031430,0.070406,0.245101,0.170451,0.245821,0.169161
0.027833,0.001018,0.031548,0.070400,0.245158,0.170532,0.245821,0.169161
0.026558,0.004074,0.031784,0.070334,0.245205,0.170666,0.245811,0.169161
0.025541,0.007012,0.031672,0.070368,0.245299,0.170748,0.245811,0.169161
0.024870,0.009278,0.031525,0.070420,0.245389,0.170796,0.245811,0.169171
0.024528,0.010953,0.031558,0.070427,0.245440,0.170852,0.245811,0.169171
0.024406,0.012476,0.031820,0.070357,0.245447,0.170940,0.245811,0.169171
0.024313,0.014027,0.031799,0.070357,0.245491,0.170994,0.245811,0.169171
0.024058,0.015278,0.031449,0.070488,0.245594,0.170975,0.245811,0.169161
0.023775,0.015631,0.031396,0.070504,0.245614,0.170981,0.245811,0.169161
0.023336,0.015850,0.031734,0.070431,0.245584,0.171027,0.245811,0.169161
0.022883,0.016215,0.032240,0.070264,0.245510,0.171124,0.245811,0.169161
0.022591,0.016649,0.032116,0.070290,0.245536,0.171127,0.245811,0.169161
0.022562,0.016928,0.031805,0.070386,0.245593,0.171088,0.245811,0.169161
0.022924,0.016838,0.031990,0.070362,0.245579,0.171096,0.245811,0.169151
0.023549,0.017022,0.032399,0.070230,0.245516,0.171169,0.245811,0.169151
0.024220,0.017470,0.032397,0.070217,0.245523,0.171191,0.245811,0.169151
0.024888,0.017586,0.031870,0.070370,0.245604,0.171118,0.245811,0.169151
0.025340,0.017742,0.031807,0.070412,0.245630,0.171102,0.245811,0.169151
0.025332,0.017934,0.032310,0.070270,0.245564,0.171181,0.245811,0.169151
0.025006,0.018173,0.032352,0.070235,0.245553,0.171208,0.245811,0.169151
0.024473,0.018621,0.031904,0.070365,0.245632,0.171156,0.245811,0.169151
0.023778,0.019314,0.031776,0.070423,0.245681,0.171152,0.245811,0.169151
0.023168,0.019832,0.031912,0.070387,0.245679,0.171189,0.245811,0.169151
0.022866,0.020222,0.031825,0.070409,0.245702,0.171193,0.245811,0.169151
0.022741,0.020741,0.031796,0.070413,0.245720,0.171208,0.245811,0.169161
0.022977,0.020875,0.031630,0.070470,0.245754,0.171183,0.245811,0.169151
0.023691,0.020386,0.031578,0.070486,0.245749,0.171156,0.245811,0.169151
0.024807,0.018428,0.031745,0.070449,0.245675,0.171107,0.245811,0.169121
0.026168,0.015761,0.031949,0.070368,0.245555,0.171053,0.245801,0.169121
0.027451,0.012461,0.031766,0.070390,0.245470,0.170928,0.245801,0.169121
0.028295,0.008875,0.031472,0.070466,0.245407,0.170768,0.245791,0.169121
0.028832,0.004506,0.031566,0.070425,0.245270,0.170641,0.245801,0.169110
0.029298,0.000077,0.031695,0.070366,0.245126,0.170522,0.245811,0.169121
0.029554,-0.004493,0.031779,0.070306,0.244983,0.170400,0.245811,0.169110
0.030006,-0.009263,0.031702,0.070365,0.244902,0.170201,0.245811,0.169019
